#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri May 02 10:49:36 2025

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       PTDC_16CH_map.ncd
#OUTPUT FILE:      PTDC_16CH_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
F12,coarse_time<44>,IOB,IO_L30P_A21_M1RESET_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F13,HIT<0>,IOB,IO_L32P_A17_M1A8_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F14,coarse_time<47>,IOB,IO_L32N_A16_M1A9_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F15,HIT<6>,IOB,IO_L35P_A11_M1A7_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F16,HIT<7>,IOB,IO_L35N_A10_M1A2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G1,,IOBS,IO_L40N_M3DQ7_3,UNUSED,,3,,,,,,,,,
G2,,,GND,,,,,,,,,,,,
G3,M_FULL_DATA<56>,IOB,IO_L40P_M3DQ6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,,,VCCO_3,,,3,,,,,2.50,,,,
G5,,IOBS,IO_L51N_M3A4_3,UNUSED,,3,,,,,,,,,
G6,,IOBM,IO_L51P_M3A10_3,UNUSED,,3,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.2,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,coarse_time<45>,IOB,IO_L30N_A20_M1A11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G12,M_FULL_DATA<2>,IOB,IO_L38P_A5_M1CLK_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G13,,,VCCO_1,,,1,,,,,2.50,,,,
G14,HIT<3>,IOB,IO_L36P_A9_M1BA0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G15,,,GND,,,,,,,,,,,,
G16,M_FULL_DATA<4>,IOB,IO_L36N_A8_M1BA1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,M_FULL_DATA<55>,IOB,IO_L39N_M3LDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,M_FULL_DATA<54>,IOB,IO_L39P_M3LDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,clkm,IOB,IO_L44N_GCLK20_M3A6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H4,M_FULL_DATA<61>,IOB,IO_L44P_GCLK21_M3A5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,clk250_0,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H6,,,VCCAUX,,,,,,,,2.5,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.2,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,VCCINT,,,,,,,,1.2,,,,
H11,M_FULL_DATA<3>,IOB,IO_L38N_A4_M1CLKN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H12,,,GND,,,,,,,,,,,,
H13,M_FULL_DATA<1>,IOB,IO_L39P_M1A3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H14,M_FULL_DATA<5>,IOB,IO_L39N_M1ODT_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,M_FULL_DATA<0>,IOB,IO_L37P_A7_M1A0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H16,M_FULL_DATA<9>,IOB,IO_L37N_A6_M1A1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,M_FULL_DATA<53>,IOB,IO_L38N_M3DQ3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J2,,,VCCO_3,,,3,,,,,2.50,,,,
J3,M_FULL_DATA<52>,IOB,IO_L38P_M3DQ2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J4,clk125,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J5,,,GND,,,,,,,,,,,,
J6,clk250_90,IOB,IO_L43P_GCLK23_M3RASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J7,,,VCCINT,,,,,,,,1.2,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VCCINT,,,,,,,,1.2,,,,
J10,,,VCCAUX,,,,,,,,2.5,,,,
J11,M_FULL_DATA<6>,IOB,IO_L40P_GCLK11_M1A5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J12,M_FULL_DATA<7>,IOB,IO_L40N_GCLK10_M1A6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J13,M_FULL_DATA<8>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J14,M_FULL_DATA<12>,IOB,IO_L43P_GCLK5_M1DQ4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J15,,,VCCO_1,,,1,,,,,2.50,,,,
J16,M_FULL_DATA<13>,IOB,IO_L43N_GCLK4_M1DQ5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,M_FULL_DATA<51>,IOB,IO_L37N_M3DQ1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K2,M_FULL_DATA<50>,IOB,IO_L37P_M3DQ0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K3,M_FULL_DATA<57>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K4,,,VCCO_3,,,3,,,,,2.50,,,,
K5,M_FULL_DATA<60>,IOB,IO_L47P_M3A0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,M_FULL_DATA<59>,IOB,IO_L47N_M3A1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.2,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,VCCINT,,,,,,,,1.2,,,,
K11,M_FULL_DATA<11>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K12,M_FULL_DATA<10>,IOB,IO_L42P_GCLK7_M1UDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K13,,,VCCO_1,,,1,,,,,2.50,,,,
K14,M_FULL_DATA<14>,IOB,IO_L41N_GCLK8_M1CASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K15,M_FULL_DATA_VALID,IOB,IO_L44P_A3_M1DQ6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K16,M_FULL_DATA<15>,IOB,IO_L44N_A2_M1DQ7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,M_FULL_DATA<49>,IOB,IO_L36N_M3DQ9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,,,GND,,,,,,,,,,,,
L3,M_FULL_DATA<48>,IOB,IO_L36P_M3DQ8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L4,M_FULL_DATA_READY,IOB,IO_L45P_M3A3_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L5,,IOBS,IO_L45N_M3ODT_3,UNUSED,,3,,,,,,,,,
L6,,,VCCAUX,,,,,,,,2.5,,,,
L7,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
L8,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
L9,,,VCCAUX,,,,,,,,2.5,,,,
L10,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
L11,,,CMPCS_B_2,,,,,,,,,,,,
L12,M_FULL_DATA<32>,IOB,IO_L53P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
