Sample in Buffer,Sample in Window,TRIGGER,Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore_1[47:0],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore[447:48],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dout_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
225,225,0,0003ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
226,226,0,0003ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
227,227,0,0003ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
228,228,0,0003ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
229,229,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
230,230,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
231,231,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
232,232,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
233,233,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
234,234,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
235,235,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
236,236,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
237,237,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
238,238,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
239,239,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
240,240,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
241,241,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
242,242,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
243,243,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
244,244,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
245,245,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
246,246,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
247,247,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
248,248,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
249,249,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
250,250,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
251,251,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
252,252,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
253,253,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
254,254,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
255,255,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
256,256,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
257,257,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
258,258,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
259,259,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
260,260,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
261,261,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
262,262,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
